summary,value,description,keywords
Ireland,5023109,"5,023,109.00",World Population 2022
Mauritania,4736139,"4,736,139.00",World Population 2022
Oman,4576298,"4,576,298.00",World Population 2022
Panama,4408581,"4,408,581.00",World Population 2022
Kuwait,4268873,"4,268,873.00",World Population 2022
Croatia,4030358,"4,030,358.00",World Population 2022
Eritrea,3684032,"3,684,032.00",World Population 2022
Georgia,3744385,"3,744,385.00",World Population 2022
Mongolia,3398366,"3,398,366.00",World Population 2022
Moldova,3272996,"3,272,996.00",World Population 2022
Uruguay,3422794,"3,422,794.00",World Population 2022
Puerto Rico,3252407,"3,252,407.00",World Population 2022
Bosnia and Herzegovina,3233526,"3,233,526.00",World Population 2022
Albania,2842321,"2,842,321.00",World Population 2022
Jamaica,2827377,"2,827,377.00",World Population 2022
Armenia,2780469,"2,780,469.00",World Population 2022
Gambia,2705992,"2,705,992.00",World Population 2022
Lithuania,2750055,"2,750,055.00",World Population 2022
Qatar,2695122,"2,695,122.00",World Population 2022
Botswana,2630296,"2,630,296.00",World Population 2022
Namibia,2567012,"2,567,012.00",World Population 2022
Gabon,2388992,"2,388,992.00",World Population 2022
Lesotho,2305825,"2,305,825.00",World Population 2022
Guinea-Bissau,2105566,"2,105,566.00",World Population 2022
Slovenia,2119844,"2,119,844.00",World Population 2022
North Macedonia,2093599,"2,093,599.00",World Population 2022
Latvia,1850651,"1,850,651.00",World Population 2022
Equatorial Guinea,1674908,"1,674,908.00",World Population 2022
Trinidad and Tobago,1531044,"1,531,044.00",World Population 2022
Bahrain,1472233,"1,472,233.00",World Population 2022
Timor-Leste,1341296,"1,341,296.00",World Population 2022
Estonia,1326062,"1,326,062.00",World Population 2022
Mauritius,1299469,"1,299,469.00",World Population 2022
Cyprus,1251488,"1,251,488.00",World Population 2022
Eswatini,1201670,"1,201,670.00",World Population 2022
Djibouti,1120849,"1,120,849.00",World Population 2022
Reunion,974052,"974,052.00",World Population 2022
Fiji,929766,"929,766.00",World Population 2022
Comoros,836774,"836,774.00",World Population 2022
Guyana,808726,"808,726.00",World Population 2022
Bhutan,782455,"782,455.00",World Population 2022
Solomon Islands,724273,"724,273.00",World Population 2022
